id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1364473577420910592,New Straits Times,Malaysia,"News, views and up-to-date reports from Malaysia's premier news source. All that and more at https://t.co/S8jbx5pMaF",2009-07-09 09:04:01,740458,428,952,True,2021-02-24 07:13:46,"#NSTnation ""The first vaccines arrived at Taiping Hospital about 11.45am, followed by the Army Hospital at 12.15pm""… https://t.co/58pC7AOm82",['NSTnation'],TweetDeck,2,1,False
1338148596307406851,Dick Bourgeois-Doyle,Canada,Ottawa science writer,2011-10-04 02:05:59,6000,4441,1039,False,2020-12-13 15:47:41,#Canadian firm Acuitas - at heart of #PfizerBioNTech #vaccine - great story - @ubcprez #UBC - we helped early on wi… https://t.co/JquwQZEP4Y,"['Canadian', 'PfizerBioNTech', 'vaccine', 'UBC']",Twitter Web App,0,1,False
1338143061558390784,Lel B.,United States,"#BidenHarris2020. Nobody calls our Military Losers! #votehimout #Dollhands con!! Me: Mom,Wife,IT Exec. Digs Hippie Christ, Music,Voracious Political Proclivity.",2009-03-14 18:13:30,2762,3295,33886,False,2020-12-13 15:25:42,"@JoeBiden @KamalaHarris Thanks to you both for bringing in fresh air, positivity and God’s hand and pushing us forw… https://t.co/j28WAUwZob",,Twitter for iPhone,0,1,False
1348053801299812355,G E O R G I A 🌻 💙,"🇬🇧  England, UK","👋#HelloMyNameIs Georgia Frith(her/she)
💙 LD Specialist Speech & Language Therapist
🐕 Dog mum
💭 Own views
🔍 #LDSpeechies  https://t.co/qrsrCdxcJL",2011-04-19 23:12:23,1859,1936,22073,False,2021-01-09 23:47:26,"My grandad recieved his #PfizerBioNTech #CovidVaccine today, he's 88 and lost my nan to #COVID 30 days ago. 

Thank… https://t.co/1UmCH93oHL","['PfizerBioNTech', 'CovidVaccine', 'COVID']",Twitter for Android,2,23,False
1351807718420586497,Grizzle Guts 🐸,🌍 ,,2019-09-23 14:10:22,16,50,980,False,2021-01-20 08:24:10,"72% of the BAME community, in a recent survey, said they will not take the #vaccine
#PfizerBioNTech
#PfizerVaccine… https://t.co/QuJlUKRci7","['vaccine', 'PfizerBioNTech', 'PfizerVaccine']",Twitter for Android,0,0,False
1376926917186580482,St. Joseph Health,"Bryan, Texas",Dedicated to improving health in the Brazos Valley through collaboration and personalized care. Privacy Policy: https://t.co/sTpfJfepTG #Hellohumankindness,2009-07-17 21:45:10,1086,361,371,False,2021-03-30 15:58:53,"St. Joseph Health’s #vaccination hub reached a huge milestone! We have now distributed 50,000 #COVID19 vaccines to… https://t.co/OzbxuNEo21","['vaccination', 'COVID19']",Sprinklr,0,2,False
1367445812943482882,ℭ𝔬𝔩𝔬𝔫𝔢𝔩 𝔗𝔦𝔪 𝔊𝔦𝔟𝔰𝔬𝔫 🖖#ᴛᴇᴀᴍᴋᴇɴᴛᴜᴄᴋʏ,"Louisville, KY  🇺🇸","By night I am a #superhero. I bleed 🏈 #BBN, #ClevelandBrowns, Fellow 🖖 #Trekkie & #KentuckyColonel. I believe #UnitedWeStandDividedWeFall. Tweets are #JMPO",2009-07-24 00:46:05,197,1806,1588,False,2021-03-04 12:04:22,Remember the #Moderna and #PfizerBioNTech vaccines were tested before all the variants were known. Those 85% and 95… https://t.co/DvUl3sdKOz,"['Moderna', 'PfizerBioNTech']",Twitter Web App,0,0,False
1404049614085492740,Annemarie⭕,"Gelderland, Nederland","puber moeder💙 getrouwd💙❤
heeft een mening...soms ook niet!
hsp 
lief en soms ook niet lief!
twittert op pers.titel",2009-08-16 19:10:11,193,465,3495,False,2021-06-13 12:14:48,"#PfizerBiontech 
@hugodejonge thnx https://t.co/NGLfRzZWVF",['PfizerBiontech'],Twitter for Android,0,1,False
1366910480644677632,JD,"Los Angeles, CA",Dance like everyone is watching 💃🏻💃🏻💃🏻💃🏻🇺🇸🇮🇹🇨🇴🇮🇪🏳️‍🌈🏁| USC ‘14 ✌🏼❤️💛,2013-01-01 18:21:35,249,672,121529,False,2021-03-03 00:37:09,Got my first shot today! #PfizerBioNTech #vaccine https://t.co/1N5BooQcSA,"['PfizerBioNTech', 'vaccine']",Twitter for iPhone,0,3,False
1430879452880322560,Reima Välimäki,"Turku, Finland","PhD, Docent of medieval history, University of Turku. Tweets on past and present heresies.",2012-10-04 21:32:01,937,926,6751,False,2021-08-26 13:07:00,The day has come! Got my second jab of #PfizerBiontech vaccine and I’m overjoyed! #koronafi #koronarokote,"['PfizerBiontech', 'koronafi', 'koronarokote']",Twitter for iPhone,0,20,False
